X,stat.Text,stat.label
25,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
26,Today is the FirstDays of PresidentTrumpDays of MAGAUSA,neutral
27,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
28,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
29,The Ceremony PresidentTrump FirstDays xICeIrcuD,neutral
30,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
31,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
32,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
33,Lets get back to work America,positive
34,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
35,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
36,Lets get back to work America,positive
37,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
38,PRESIDENTTRUMPMR PRESIDENT YOU HAVE SAID THAT YOURE A CHRISTIAN SO HOW DOES IT FEEL TO KILLING PEOPLE LIKE SYRIA,neutral
39,Federal judge blocks deportations undr Trumps extreme vettin ordrrefugeesothrs wiv valid visas PresidentTrump MBfzxElB,neutral
40,PRESIDENTTRUMPMR PRESIDENT YOU HAVE SAID THAT YOURE A CHRISTIAN SO HOW DOES IT FEEL TO KILLING PEOPLE LIKE SY ZXsxkVwZEJ,neutral
41,Riverdale Cole Sprouse FPs Arrest Will Bring Jughead Betty CloserCCOTMAGAAmericaFirstPresidentTrump SvKCFcXjv,negative
42,This register ArizonaVoterDemocrat DemExitgives PresidentTrump the grade offor his first hYpFAWNZPu,neutral
43,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
44,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
45,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
46,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
47,This register ArizonaVoterDemocrat DemExitgives PresidentTrump the grade offor his first qZOUyPZyBR,neutral
48,Reasons to Save Once Upon a Time from CancellationCCOTMAGAAmericaFirstPresidentTrump JIBkdBcMg,neutral
49,Lets get back to work America,positive
50,Lets get back to work America,positive
51,PresidentTrump A Man Of Faith WmRveyFBDK,positive
52,The Ceremony PresidentTrump FirstDays xICeIrcuD,neutral
53,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
54,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
55,Lets get back to work America,positive
56,Congrats PresidentTrump on your firstdays Maybe thats enough right,positive
57,PresidentTrumps thday in office has become perhaps an inspiration for artists nationwide iHUGdR,positive
58,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
59,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
60,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
61,DonnyVlad boiled or fried WRGNgTUqBL Trump Putin DonaldTrump scandal PresidentTrump maniac,negative
62,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
63,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
64,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
65,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
66,NCIS New Orleans Shalita Grant Explains the Decision That Got Percy ArrestedCCOTMAGAAmericaFirstPresidentTrump,neutral
67,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
68,NCIS New Orleans Shalita Grant Explains the Decision That Got Percy ArrestedCCOTMAGAAmericaFirst zLbFIJdyXQ,neutral
69,USA is now under new management PresidentTrumpteam MAGA pAGocUzZ,neutral
70,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
71,Today is the FirstDays of PresidentTrumpDays of MAGAUSA,neutral
72,Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump VsrbkRWwP,positive
73,How do you feel aboutFirstDays in office PresidentTrump days QgiqNsMz,neutral
74,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
75,,neutral
76,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
77,Lets get back to work America,positive
78,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
79,Turn off fakenews bWeKUpDTMY,neutral
80,Lets get back to work America,positive
81,Today is the FirstDays of PresidentTrumpDays of MAGAUSA,neutral
82,Lets get back to work America,positive
83,Second Trailer for Abduction Thriller Hounds of Love Set in AustraliaCCOTMAGAAmericaFirst gmiMDdXQ,positive
84,The Ceremony PresidentTrump FirstDays xICeIrcuD,neutral
85,,neutral
86,Lets get back to work America,positive
87,FirstDays BerkeleyProtest MAGA PresidentTrump MAGA kjjAjzEWT,neutral
88,Lets get back to work America,positive
89,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
90,Today is the FirstDays of PresidentTrumpDays of MAGAUSA,neutral
91,I agree that the American people know whats best for our country Its called PresidentTrump,positive
92,Today is the FirstDays of PresidentTrumpDays of MAGAUSA,neutral
93,Today is the FirstDays of PresidentTrumpDays of MAGAUSA,neutral
94,Today is the FirstDays of PresidentTrumpDays of MAGAUSAoXVrIzckd,neutral
95,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
96,Lets get back to work America,positive
97,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
98,Q What do you call ayear old white nationalist girl who can run faster than her brothersA a virgin MAGA Presid,positive
99,What a beautiful site PresidentTrump working hard for the American peopleWerebehind youTrump,neutral
100,Breaking NewsZ The Beginning of Everything Is Returning for a Second SeasonCCOTMAGAAmericaFirstPresidentTrump,negative
101,PresidentTrumpthe seconddaysStay tuneduzaqkKM,neutral
102,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
103,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
104,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
105,AmericaFirst PresidentTrump is your daddy GcgxfQ,neutral
106,PresidentTrump Is Playing D Chess The Haters Are Playing Checkers xyOxPfdRSQ,negative
107,Lets get back to work America,positive
108,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
109,,neutral
110,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
111,Let them protest,negative
112,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
113,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
114,Congrats PresidentTrump on your firstdays Maybe thats enough right,positive
115,Greek Lentil Soup with Tomato and Olive GremolataPlantPowered KitchenCCOTMAGAAmericaFirstPresidentTrump http,neutral
116,PunchedUp Potato Leek Soup recipe from The Perfect Blend cookbook LHOPObsKfCCOTMAGAAmericaFirstPr,positive
117,Ratings Scandal and The Catch Eye Upticks Greys Ties LowCCOTMAGAAmericaFirstPresidentTrump wfeq,negative
118,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
119,The only ones that are afraid of PresidentTrump are the ones that should beAmericaFirst HazQAvyNR,negative
120,Recent Washington Post poll shows that if election were REdonePresidentTrump STILL winstofor Hillary Clinton,neutral
121,Lets get back to work America,positive
122,PresidentTrump crossed this line We are not going to tolerate Assad continuing to use ChemicalWeapons,negative
123,President Trumps FirstDays pls RTcJPODV PresidentTrump WCCOSaturdayMorning DonaldTr,neutral
124,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
125,New revised easy to read and share PSA about,positive
126,A president that is willing to speak to the American people on a daily basis is a great p ammjrqLpd,positive
127,Ratings Scandal and The Catch Eye Upticks Greys Ties LowCCOTMAGAAmericaFirstPresidentTrump wfeqFrM,negative
128,saturdaymorningDonutsAreBetterThanPeople,neutral
129,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
130,FactChecking PresidentTrump Through His FirstDaysFirstFails fakenews fTuEWchJw,neutral
131,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
132,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
133,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
134,PresidentTrump is fthruweOp,neutral
135,Lets get back to work America,positive
136,Hows that SafeSpace holding up days later LiberalLogic LibTards Leftist PresidentTrump MAGA,neutral
137,The antifa Group is calling for people to cover facesmarch againstin Harrisburg NEED Help Save USA,neutral
138,Lets get back to work America,positive
139,Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLove,negative
140,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
141,You people better get your act together and get on Board with PresidentTrump Enoughisenough of rvhkxGjl,positive
142,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
143,Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLove,negative
144,RSBN MediaPresidentTrump Rally in Harrisburg PA,neutral
145,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
146,Greek Lentil Soup with Tomato and Olive GremolataPlantPowered KitchenCCOTMAGAAmericaFirst aKbMoFNqOH,neutral
147,PunchedUp Potato Leek Soup recipe from The Perfect Blend cookbook ctCiVQ,positive
148,The Ceremony PresidentTrump FirstDays xICeIrcuD,neutral
149,Congrats PresidentTrump on your firstdays Maybe thats enough right,positive
150,Make America Great AgainGodBlessAmericaMAGAPresidentTrump FSDzDh,positive
151,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
152,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
153,FoxNews ppl asked about PresidentTrumpstdays someone said hes unpredictable wtf how So tired of hearing this,negative
154,Dear God,positive
155,Lets get back to work America,positive
156,Lets get back to work America,positive
157,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
158,ie PresidentTrump is a Nationalist who is looking to survive under what must be staggering threats IINxIvlJb,negative
159,PresidentTrumpaccomplishmenthe keptout of the White House,neutral
160,Lets get back to work America,positive
161,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
162,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
163,An illustrated guide to PresidentTrumps FirstDaysFirstFails first CVigDcachM,neutral
164,The USA gained so much in the firstdaysLets dotimes as much in the nextdays of RVVYSgZXT,positive
165,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
166,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
167,PRESIDENT TRUMP SHOULD NEVER STOP TWEETING MAGA PresidentElectTrump Jan PresidentTrump TrumpTrain VicePre,positive
168,Q What do you call ayear old white nationalist girl who can run faster than her brothersA a virgin MAGA Presid,positive
169,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
170,April th PresidentTrump theday Nothing much has changed in the minds of Democrats or activistCNN MSNBC nruKpyqSD,neutral
171,PopeFrancis travels to Egypt to promote peace PresidentTrump addresses NRA to promote himself and gun violence cdsppquYhq,positive
172,DairyFree Cheesecake from The Cheese TrapPlantPowered Kitchen GSJUzBE,neutral
173,Lets get back to work America,positive
174,Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLove,negative
175,Happy Firstdays PresidentTrump DonaldTrumpESqzlZdhpA,positive
176,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
177,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
178,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
179,See Eric Churchs Swinging Cover of Mavis Staples Eyes on the PrizeCCOTMAGAAmericaFirstPresidentTrump,neutral
180,Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLove,negative
181,CannesLineup on Notebook bAgVcRMGV,neutral
182,First UK Trailer for My Name Is Lenny About a BareKnuckle FighterCCOTMAGAAmericaFirstPresidentTrump WKhiLXZW,neutral
183,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
184,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
185,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
186,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
187,Lets get back to work America,positive
188,DonnyVlad boiled or fried WRGNgTUqBL Trump trumpster Putin DonaldTrump scandal PresidentTrump,negative
189,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
190,Never keep speaking to the AmericapeoplePresidentTrump we want the realtruth Not the tkCQgVWfY,negative
191,Lets get back to work America,positive
192,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
193,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
194,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
195,ANY punditcritic of Trumps FirstDays would have melted and evaporated by now had they been in his shoes PresidentTr,neutral
196,WeThePeoplewill help our POTUS to MAGA and drainthesw thank you PresidentTrump YyZjrSXQ,positive
197,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
198,RSBN MediaPresidentTrump Rally in Harrisburg PA,neutral
199,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
200,RSBN MediaPresidentTrump Rally in Harrisburg PA,neutral
201,Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLov yAbwqv,negative
202,Lets get back to work America,positive
203,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
204,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
205,See Eric Churchs Swinging Cover of Mavis Staples Eyes on the PrizeCCOTMAGAAmericaFirstPresidentTrump givnvUNJT,neutral
206,USA is now under new management PresidentTrumpteam MAGA pIMNXDdRY,neutral
207,climatemarch Trump is in office fordays and yall are STILL protesting Get over yourself nothing is gonna change,neutral
208,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
209,climatemarch Trump is in office fordays and yall are STILL protesting Get over yourself nothing is gonna c PVTbwGqXKH,neutral
210,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
211,Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump BYMUIREeB,positive
212,Oh this is a compilation of the SoreloserClubBahahahahahaUSAPresidentTrumpPotus UqPVSAZbf,neutral
213,Lets get back to work America,positive
214,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
215,The only funny joke here is Trump examining mask of himself PresidentTrumpGvbwRiwII,negative
216,RSBN MediaPresidentTrump Rally in Harrisburg PA,neutral
217,Willie NelsonEssential SongsCCOTMAGAAmericaFirstPresidentTrump vMHXUoYzz,neutral
218,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
219,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
220,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
221,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
222,presidenttrump HRW Hi onFebThe independent UK published my legal complaint kbTogssR,negative
223,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
224,Lets get back to work America,positive
225,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
226,Lets get back to work America,positive
227,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
228,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
229,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
230,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
231,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
232,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
233,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
234,Lets get back to work America,positive
235,The left ever since PresidentTrump won in one videosundaymotivation MAGA kdHHjS,positive
236,The Circle TornFromHeadlines Tech Thriller Is a Cinematic Dead LinkCCOTMAGAAmericaFirst cYLoKsEi,negative
237,They have stated them theyre just not achievementsfirst FirstDays PresidentTrump TrumpTweets CoYPtqbJX,negative
238,New revised easy to read and share PSA about,positive
239,Lets get back to work America,positive
240,Trump Protestors Set Fire To Signs At LeastArrestLJnOoQAFHD,positive
241,We Will FightAmericanWorkers Jobs,neutral
242,Lets get back to work America,positive
243,Dear God,positive
244,Lets get back to work America,positive
245,Willie NelsonEssential SongsCCOTMAGAAmericaFirstPresidentTrump vMHXUoYzz,neutral
246,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
247,DonnyVlad boiled or fried WRGNgTUqBL Trump trumpster Putin DonaldTrump scandal PresidentTrump republican,negative
248,This is going to be an AWESOME rally in Harrisburg PA to celebrate PresidentTrumps FirstDays MAGA AmericaFirst,positive
249,Lets get back to work America,positive
250,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
251,The ONLY one I worship is Jesus PresidentTrump is Divine Intervention epavQlE,positive
252,The ONLY one I worship is Jesus PresidentTrump is Divine Intervention epavQlE,positive
253,LIVE Stream President Donald J Trump Rally in Harrisburg PAqdMzSMFJRgreat Americans PresidentTrump,positive
254,Meters Down Trailer Mandy Moore vs Great White SharksCCOTMAGAAmericaFirstPresidentTrump Biqr,positive
255,Meters Down Trailer Mandy Moore vs Great White SharksCCOTMAGAAmericaFirstPresidentTrump BiqryY,positive
256,Lets get back to work America,positive
257,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
258,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
259,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
260,Lets get back to work America,positive
261,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
262,Lets get back to work America,positive
263,,neutral
264,Dear God,positive
265,Lets get back to work America,positive
266,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
267,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
268,Lets get back to work America,positive
269,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
270,Sony Sets Masters of the Universe Release Date McG No Longer DirectingCCOTMAGAAmericaFirstPresidentTrump,neutral
271,Sony Sets Masters of the Universe Release Date McG No Longer DirectingCCOTMAGAAmericaFirstPresidentTrump,neutral
272,Lets get back to work America,positive
273,The left ever since PresidentTrump won in one videosundaymotivation MAGA kdHHjS,positive
274,Sony Sets Masters of the Universe Release Date McG No Longer DirectingCCOTMAGAAmericaFirst ZqSWgKX,neutral
275,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
276,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
277,The Boondock Saints Origins Prequel TV Series AnnouncedCCOTMAGAAmericaFirstPresidentTrump ZtmARiR,neutral
278,The left ever since PresidentTrump won in one videosundaymotivation MAGA kdHHjS,positive
279,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
280,Lets get back to work America,positive
281,What do you think of President TrumpWho do you agree withanime lovelive PresidentTrump America funny lolol Mem,negative
282,PresidentTrump no doctrinaireHis instincts r anchored in pragmatism n flexibility JustinTrudeauPM is correct so ZpWfbovMM,positive
283,Congrats PresidentTrump on your firstdays Maybe thats enough right,positive
284,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
285,The Boondock Saints Origins Prequel TV Series AnnouncedCCOTMAGAAmericaFirstPresidentTrump ZtmARiRVF,neutral
286,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
287,Heres why I voted TrumpVOTING PresidentTrump inJoin TrumpsArmy America is worth fighting for MAGA,neutral
288,Congrats PresidentTrump on your firstdays Maybe thats enough right,positive
289,Lets get back to work America,positive
290,Lets get back to work America,positive
291,Lets get back to work America,positive
292,,neutral
293,Days of Winning TrumpUSAMore Years of Making it Great MAGA DealMaker PromiseKeeper TruthTeller PresidentTrum,positive
294,Lets get back to work America,positive
295,Our children will inherit from us a nation that is strongproud and a totally freePresidentTrumpGodBlessAmerica,neutral
296,Lets get back to work America,positive
297,Lets get back to work America,positive
298,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
299,ANY punditcritic of Trumps FirstDays would have melted and evaporated by now had they been in his shoes PresidentTr,neutral
300,Lets get back to work America,positive
301,polls wants Rubio to hit me I told you so,neutral
302,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
303,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
304,,neutral
305,So IMPORTANTFinallyNationalVietnamVeteransDaywInTheTrumpDaysThankYouPresidentTrump,neutral
306,Lets get back to work America,positive
307,Lets get back to work America,positive
308,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
309,Im so elated that Bill Clinton is NOT our First Lady Hed be wearing lipstick everywhereand it wouldnt be his NkfEoxlW,neutral
310,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
311,,neutral
312,Any Veteransin range of Pennsylvania PresidentTrump needs support at the TrumpRally to help w Antifa thugs,positive
313,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
314,Congratulations to PresidentTrump for all you have accomplish indays Keep what you are doing To Get America Great Again,positive
315,Any Veteransin range of Pennsylvania PresidentTrump needs support at the TrumpRally to help w Antifa thugs,positive
316,Lets get back to work America,positive
317,Guardians of the GalaxySets Up the NextYears of Marvel StudiosCCOTMAGAAmericaFirstPresidentTrump LzfjANbG,positive
318,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
319,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
320,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
321,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
322,Congrats PresidentTrump on your firstdays Maybe thats enough right,positive
323,PresidentTrump absolutely looking at breakingup thCircuitJUST DO ITThank you AmericaFirst MAGA,neutral
324,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
325,PAPresidentTrump had to have PA,neutral
326,,neutral
327,WeThePeople elect aKehyVKu,neutral
328,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
329,PresidentTrumpMikePence,positive
330,said Im ready to come out of the woodsRetweet if you want her to stay lost saturdaymorning Presid,neutral
331,PresidentTrumpPennsylvania MAGAPOTUSVP MikePenceHarrisburg PA Rally pm EST,neutral
332,Lets get back to work America,positive
333,Lets get back to work America,positive
334,Get on my level son funrun Puaki Jialeng PresidentTrump LgfERXOLk,neutral
335,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
336,of all that you do GOP MAGA Trump PresidentTrump MAGA BuildTheWall Sean,positive
337,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
338,VIDEO Profile of a President PresidentTrump,neutral
339,saturdaymorningDonutsAreBetterThanPeople,neutral
340,PresidentTrumpMAGA,neutral
341,Q What do you call ayear old white nationalist girl who can run faster than her brothersA a virgin MAGA Presid,positive
342,Lets get back to work America,positive
343,Days of Winning TrumpUSAMore Years of Making it Great MAGA DealMaker PromiseKeeper TruthTeller PresidentTrum,positive
344,said Im ready to come out of the woodsRetweet if you want her to stay lost saturdaymorning Presid,neutral
345,New revised easy to read and share PSA about,positive
346,Lets get back to work America,positive
347,To Deal with Plastic Trash All You Need is Bugs YXwjwFdvK,negative
348,USA is now under new management PresidentTrumpteam MAGA XMhPXZjEVO,neutral
349,,neutral
